image, caption
sofawoman.jpg, There are 2 yellow pillows on the grey sofa.
sofawoman.jpg, The woman is sitting with laptop on the sofa.
sofawoman2.jpg, There is a woman sitting on the white sofa.
sofawoman2.jpg, The sofa that the woman is sitting on is white in colour.
sofawoman2.jpg, The woman sitting on the grey sofa is wearing a yellow top.
sofawoman2.jpg, There are 2 white pillows on the white sofa.
sofawoman2.jpg, The woman is sitting with a white pillow on the sofa.














